CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
2,2,,1,1
42,2,,1,1
1,1,,3,1
236,7,,1,2
1,18,,2,2
1,23,,3,1
24,76,,1,4
2,105,,33,1
3,1,,18,1
2,1,,1,1
5,101,,1,8
1,1,,15,2
75,42,,1,1
107,5,,95,1
1,8,,1,1
6,37,,2,1
14,4,,1,1
1,2,,1,1
1,6,,1,1
1,71,,1,1
4,4,,2,10
87,4,,6,1
1,4,,8,1
1,9,,21,3
1,7,,3,6
9,19,,1,1
11,38,,1,1
4,1,,1,1
17,1,,1,5
2,1,,1,2
2,12,,13,1
3,4,,25,1
1,5,,10,1
2,2,,4,1
268,1,,1,4
35,435,,2,1
2,103,,1,1
1,7,,9,1
3,128,,47,1
8,1,,37,1
2,7,,29,1
2,21,,83,2
181,9,,15,1
1,13,,1,1
76,36,,1,131
2,4,,1,1
2,2,,7,1
1,32,,5,1
8,3,,4,1
1,2,,2,2
75,3,,9,1
114,3,,2,2
16,22,,8,90
89,1,,68,1
54,12,,1,1
2,1,,4,309
11,14,,1,508
2,37,,1,70
32,1,,1,271
79,19,,3,1
12,1,,2,105
1,6,,3,5
1,1,,2,50
35,6,,3,1
3,1,,1,1
1,12,,2,1
1,45,,1,1
13,10,,1,1
1,4,,3,4
8,3,,2,14
3,2,,1,4
3,73,,21,29
1,3,,20,14
1,4,,1,1
18,1,,17,1
27,64,,1,15
35,76,,2,22
20,58,,5,19
81,84,,2,20
2,23,,5,6
3,3,,2,2
11,6,,3,5
4,184,,1,4
3,3,,5,1
14,16,,9,3
2,40,,1,7
13,2,,1,6
1,1,,1,2
5,56,,2,1
7,33,,2,145
20,2,,2,1
1,2,,3,44
1,1,,5,1
30,11,,1,34
3,3,,3,1
1,1,,1,1
1,1,,1,55
6,1,,1,4
195,3,,9,2
56,2,,12,1
1,1,,9,25
2,1,,2,21
1,1,,11,5
3,1,,1,6
7,1,,1,5
1,2,,11,23
1085,1,,1,37
1,1,,1,121
9,2,,1,4
1,1,,54,190
1,1,,64,1
23,1,,30,5
90,3,,14,219
1,18,,8,2
7,9,,1,2
52,20,,1,4
14,6,,12,11
2,1,,9,38
2,,,5,2
1,,,11,35
1,,,8,9
1,,,2,244
50,,,2,26
2,,,1,4
5,,,1,13
1,,,1,3
1,,,1,1
1,,,1,12
1,,,4,1
4,,,9,4
3,,,1,12
1,,,2,1
1,,,3,48
1,,,2,162
2,,,4,37
1,,,3,1
1,,,1,42
1,,,2,342
1,,,1,5
1,,,1,26
18,,,1,2
1,,,1,2
1,,,1,8
2,,,2,1
1,,,5,6
1,,,1,1
1,,,1,11
1,,,1,36
1,,,1,196
1,,,1,17
7,,,1,1
1,,,1,28
1,,,1,17
1,,,1,70
1,,,1,579
1,,,1,1
2,,,1,8
1,,,1,68
1,,,1,6
89,,,1,346
1,,,1,176
1,,,1,38
2,,,1,4
1,,,1,10
1,,,1,2
4,,,1,7
1,,,6,1
1,,,15,23
1,,,20,101
1,,,23,1
2,,,5,12
4,,,3,2
1,,,1,3
1,,,2,658
1,,,1,2
3,,,3,34
9,,,1,87
1,,,1,72
1,,,3,96
104,,,1,13
1,,,1,12
27,,,4,144
267,,,48,1
34,,,19,14
1,,,13,1
5,,,3,20
18,,,4,10
8,,,1,15
5,,,1,34
5,,,1,7
12,,,2,1
136,,,1,3
1,,,2,1
3,,,1,58
1,,,4,1
2,,,29,1
3,,,179,15
11,,,118,2
4,,,97,85
12,,,85,1
2,,,56,5
2,,,1,1
3,,,11,19
3,,,1,8
1,,,1,5
4,,,2,11
2,,,2,16
3,,,4,5
2,,,1,5
1,,,3,2
2,,,3,5
1,,,1,2
174,,,8,42
1,,,4,12
12,,,3,1
1,,,13,31
166,,,1,1
2,,,13,3
7,,,22,15
8,,,2,3
6,,,1,184
1,,,2,2
9,,,6,2
111,,,2,2
3,,,1,1
8,,,1,26
1,,,1,207
1,,,1,9
10,,,1,1
3,,,1,26
20,,,1,58
1,,,1,7
4,,,1,1
3,,,2,14
2,,,1,1
8,,,7,11
21,,,2,2
87,,,1,4
7,,,16,1
5,,,2,2
2,,,6,3
1,,,1,35
