CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,53,3,1,2
6,1,3,1,2
2,1,3,27,2
16,3,3,1,2
2,1,3,1,2
23,10,3,1,1
4,2,3,3,1
25,1,3,1,1
5,1,3,72,1
11,2,3,3,1
45,4,3,10,1
29,68,3,1,1
1,9,3,100,1
1,11,3,1,1
5,9,3,1,1
1,10,3,1,1
2,8,3,1,1
3,13,3,81,1
1,1,2,3,237
10,1,2,1,167
1,82,2,3,164
6,1,2,3,115
1,1,2,19,92
6,15,2,84,81
1,1,2,117,80
3,1,2,1,53
7,1,2,1,50
1,1,2,2,47
1,38,2,1,47
11,3,2,1,34
1,166,2,1,31
13,8,2,1,28
17,1,2,3,26
1,1,2,3,25
1,3,2,12,25
1,2,2,12,23
9,1,2,3,18
2,13,2,22,13
365,3,2,3,12
118,1,2,1,12
2,3,2,1,11
6,161,2,7,10
1,12,2,111,9
5,2,2,25,9
2,2,2,73,9
6,1,2,1,8
7,2,2,3,7
2,1,2,1,6
1,45,2,7,6
1,1,2,1,6
16,5,2,2,6
1,2,2,3,5
1,7,2,1,5
2,35,2,4,5
82,4,2,2,5
11,15,2,2,5
2,1,2,47,4
1,133,2,3,4
10,1,2,1,4
1,1,2,1,4
1,25,2,1,3
2,1,2,1,3
15,2,2,1,3
1,5,2,1,3
4,2,2,1,3
7,3,2,1,3
1,1,2,3,3
2,18,2,1,3
1,1,2,1,3
1,14,2,1,2
5,4,2,13,2
2,2,2,2,2
1,20,2,38,2
1,11,2,16,2
6,14,2,1,2
9,8,2,1,2
1,1,2,1,2
1,4,2,1,2
9,10,2,9,2
2,1,2,18,1
2,4,2,1,1
24,1,2,1,1
1,2,2,4,1
5,14,2,2,1
10,18,2,1,1
1,6,2,6,1
1,10,2,3,1
1,2,2,8,1
17,2,2,2,1
1,1,2,1,1
1,1,2,3,1
1,3,2,390,1
1,4,2,16,1
1,8,2,71,1
18,4,2,1,1
2,18,2,1,1
50,17,2,1,1
12,1,2,1,1
3,31,2,1,1
39,131,2,3,1
5,107,2,2,1
2,1,2,5,1
7,2,2,1,1
1,1,2,65,1
42,1,2,11,1
64,8,2,1,1
1,14,2,2,1
47,7,2,1,1
81,2,2,7,1
6,6,1,10,267
42,3,1,50,255
23,99,1,6,253
1,32,1,138,204
1,10,1,13,196
1,5,1,3,183
1,2,1,13,179
1,2,1,1,178
1,20,1,2,152
22,15,1,1,148
2,24,1,1,146
4,1,1,1,138
5,2,1,6,133
2,1,1,2,131
1,62,1,1,129
1,2,1,5,129
1,17,1,1,119
1,6,1,1,112
17,11,1,3,110
7,1,1,1,109
2,1,1,6,106
1,6,1,3,101
2,2,1,11,97
18,2,1,21,95
9,17,1,52,91
66,5,1,1,90
352,28,1,1,88
78,22,1,2,86
30,3,1,1,83
1,2,1,1,82
4,1,1,1,78
6,1,1,6,77
1,1,1,1,76
1,2,1,1,72
1,1,1,5,72
10,2,1,79,72
1,1,1,2,71
8,50,1,15,71
83,38,1,1,68
1,2,1,1,68
1,3,1,2,66
2,1,1,1,66
1,2,1,1,65
7,2,1,1,65
5,14,1,1,65
6,2,1,1,64
1,1,1,2,64
1,5,1,1,62
7,3,1,3,60
1,9,1,1,60
1,5,1,1,60
1,2,1,30,59
2,1,1,1,59
2,2,1,27,58
7,3,1,23,58
7,3,1,1,57
1,6,1,1,57
4,54,1,57,55
17,6,1,25,55
2,1,1,8,54
13,30,1,1,54
17,1,1,1,53
25,10,1,17,49
4,2,1,1,48
3,1,1,1,48
1,6,1,3,45
45,2,1,1,44
3,1,1,1,43
15,1,1,3,43
39,4,1,5,42
6,11,1,2,41
26,14,1,2,41
1,37,1,1,41
36,1,1,1,41
1,1,1,8,40
61,1,1,2,39
8,11,1,88,39
1,3,1,2,37
1,1,1,42,37
1,10,1,4,36
56,1,1,1,36
12,1,1,2,35
1,27,1,1,34
1,7,1,1,34
5,1,1,48,32
45,2,1,1,31
1,2,1,42,29
547,1,1,3,29
4,1,1,2,29
4,7,1,18,26
2,56,1,163,26
26,16,1,6,25
11,3,1,2,25
1,26,1,1,25
1,16,1,1,23
2,1,1,1,23
5,1,1,1,22
3,64,1,2,22
8,1,1,80,22
1,2,1,11,22
51,21,1,38,21
3,14,1,4,21
